timestamp,ticker,price,target(%),stop_loss(%),sentiment,High,Low between flag and high,Change from flag,Squeeze,Pre Market Squeeze (Y/N),Change to Low,Decision,P/L ($1000),,,,,,,
2025-07-28T03:07:38.583849,LIDR,4.98,22.58,-9.12,,6.44,4.74,29.32%,M,N,-4.82%,Cashed Target,225.8,,Day 1 P/L,Day 2 P/L,Day 3 P/L,Day 4 P/L,Day 5 P/L,Weekly Total
2025-07-28T04:19:32.826526,XXII,3.94,9.98,-4.16,,5.26,3.6,33.50%,M,Y,-8.63%,Cashed Target(Low Between High and Target),99.8,,271.6,85.9,-163.7,344.2769402,253.34,791.4156302
2025-07-28T04:36:41.509346,INMB,3.03,8.97,-3.64,,3.28,3.02,8.25%,N,N,-0.33%,Missed Target,-36.4,,,,,,,
2025-07-28T05:54:42.110861,TRUG,9.3,15.71,-6.39,,11.45,7.25,23.12%,M,Y,-22.04%,Stop Lossed,-63.9,,,,,,,
2025-07-28T08:19:26.164343,ALBT,2.74,5.13,-1.93,,4.74,2.27,72.99%,L,N,-17.15%,Cashed Target(Low Between High and Target),51.3,,,,,,,
2025-07-28T09:30:20.654938,STEM,16.57,12.66,-5.01,,19.48,16,17.56%,S,N,-3.44%,Cashed Target,126.6,,,,,,,
2025-07-28T09:38:18.172022,EVAX,3.04,5.26,-1.86,,3.09,2.93,1.64%,N,N,-3.62%,Stop Lossed,-18.6,,,,,,,
2025-07-28T09:41:24.374228,XFOR,2.02,11.31,-4.58,,2.22,1.9,9.90%,N,N,-5.94%,Stop Lossed,-45.8,,,,,,,
2025-07-28T09:43:41.911835,TRON,11.69,11.47,-4.55,,11.9,10.58,1.80%,N,N,-9.50%,Stop Lossed,-45.5,,,,,,,
2025-07-28T09:48:33.912435,SCLX,13.2,12.41,-4.83,,16.47,12.7,24.77%,M,N,-3.79%,Cashed Target,124.1,,,,,,,
2025-07-28T09:56:00.766685,CVM,9.75,16.78,-6.66,,10.3,9.5,5.64%,N,N,-2.56%,Missed Target,-66.6,,,,,,,
2025-07-28T15:52:38.373743,PFSA,2.05,18.68,-7.92,,2.17,2.05,5.85%,N,N,0.00%,Missed Target,-79.2,,,,,,,
2025-07-29T04:06:29.427191,SLRX,3.14,6.64,-2.3,,3.41,2.85,8.60%,N,N,-9.24%,Stop Lossed,-23,,,,,,,
2025-07-29T04:35:17.682274,TBHC,2.06,16.64,-6.7,,2.52,2.06,22.33%,M,Y,0.00%,Cashed Target,166.4,,,,,,,
2025-07-29T04:59:20.121941,BSLK,3.41,5.86,-2.17,,3.62,3.38,6.16%,N,N,-0.88%,Cashed Target,58.6,,,,,,,
2025-07-29T08:02:14.217872,SOAR,2,7.77,-2.97,,2.73,1.8,36.50%,M,Y,-10.00%,Stop Lossed,-29.7,,,,,,,
2025-07-29T08:25:49.287471,UAVS,2.79,17.16,-6.97,,2.89,2.72,3.58%,N,N,-2.51%,Missed Target,33.3,,,,,,,
2025-07-29T15:34:08.968414,HWH,2.01,4.96,-1.67,,2.11,1.96,4.98%,N,N,-2.49%,Stop Lossed,48.97,,,,,,,
2025-07-30T05:03:15.829989,WBUY,5.59,14.18,-5.87,,5.7,5.59,1.97%,N,N,0.00%,Missed Target,18.54,,,,,,,
2025-07-30T05:37:16.029596,NCI,2.42,7.77,-2.99,,2.48,2.4,2.48%,N,N,-0.83%,Stop Lossed,24.06,,,,,,,
2025-07-30T06:59:36.277925,DPRO,5.51,11.22,-4.5,,5.51,5.13,0.00%,N,N,-6.90%,Loss,-45,,,,,,,
2025-07-30T07:02:25.361628,AYRO,9.01,6.25,-2.28,,9.01,8.46,0.00%,N,N,-6.10%,Loss,-22.8,,,,,,,
2025-07-30T08:01:26.096961,FAT,2.57,2.57,-0.73,,2.6,2.4,1.17%,N,N,-6.61%,Stop Lossed,11.61,,,,,,,
2025-07-31T05:01:03.505640,LRHC,7.11,11.3,-4.62,,7.8,6.23,9.70%,Y,N,-12.38%,Stop Lossed,92.56,,,,,,,
2025-07-31T05:36:43.269209,ONCO,4.2,9.03,-3.61,,4.44,3.55,5.71%,Y,N,-15.48%,Stop Lossed,55.04,(1000*I26)*(100+E26)%,,,,,,
2025-07-31T07:33:36.827361,LTRN,4.8,5.77,-2.08,,4.94,4.05,2.92%,Y,N,-15.63%,,28.59,,,,,,,
2025-07-31T07:37:57.703850,SNGX,2,5.74,-2.04,,2.09,1.79,4.50%,Y,N,-10.50%,,44.08,,,,,,,
2025-07-31T08:00:37.611411,ENSC,2.71,4.43,-1.51,,3.18,2.57,17.34%,Y,S,-5.17%,Cashed Target,44.3,,,,,,,
2025-07-31T08:10:37.203961,CREV,4.13,31.47,-13.22,,4.29,3.62,3.87%,Y,N,-12.35%,Held through day,,,,,,,,
2025-07-31T09:00:35.415393,GRI,2.35,6.4,-2.35,,2.45,2.15,4.26%,Y,N,-8.51%,Stop Lossed,41.55,,,,,,,
2025-07-31T09:08:16.500078,LIDR,3.87,36.86,-15.37,,3.93,3.7,1.55%,Y,N,-4.39%,Stop Lossed,13.12,,,,,,,
2025-07-31T09:30:18.309597,DSP,14.96,3.77,-1.28,,14.96,13.9,0.00%,N,N,-7.09%,Loss,-12.8,,,,,,,
2025-07-31T10:04:57.654073,NAAS,3.19,14.35,-5.88,,3.29,3.05,3.13%,N,N,-4.39%,Stop Lossed,29.5,,,,,,,
2025-07-31T10:34:45.824341,SRTS,5.85,7,-2.6,,5.9,5.85,0.85%,N,N,0.00%,Stop Lossed,8.32,,,,,,,
2025-08-01T07:37:06.544696,BTAI,2.01,8.4,-3.29,,2.09,1.99,3.98%,Y,N,-1.00%,Stop Lossed,55.04,,,,,,,
2025-08-01T08:19:50.064530,FLGT,19.5,2.57,-0.8,,19.5,18.32,0.00%,Y,N,-6.05%,Loss,-8,,,,,,,
2025-08-01T08:30:34.938673,MSW,2.68,20.63,-8.63,,3.4,1.45,26.87%,Y,M,-45.90%,Cashed Target,206.3,,,,,,,
