Date,Ticker,Call Volume,Put Volume,P/C Ratio,Time
2025-05-19,GME,63622,10917,0.17,07:44:00
2025-05-19,TSLA,476892,359442,0.75,07:44:00
2025-05-19,AMC,73508,9351,0.13,07:44:00
2025-05-19,AAPL,157152,72175,0.46,07:44:00
2025-05-19,NVDA,667513,388798,0.58,07:44:00
2025-05-19,BYSI,0,0,,07:44:00
2025-05-19,SLSR,1474,0,0,07:44:00
2025-05-19,STKS,41,264,6.44,07:44:00
2025-05-19,GAIN,10,2,0.2,07:44:00
2025-05-19,IMMP,64,5,0.08,07:44:00
2025-05-19,GME,39140,8099,0.21,14:24:00
2025-05-19,TSLA,472856,305746,0.65,14:24:00
2025-05-19,AMC,28896,4647,0.16,14:24:00
2025-05-19,AAPL,180634,145418,0.81,14:24:00
2025-05-19,NVDA,556875,404877,0.73,14:24:00
2025-05-19,BYSI,0,0,,14:24:00
2025-05-19,SLSR,1474,0,0,14:24:00
2025-05-19,STKS,121,264,2.18,14:24:00
2025-05-19,GAIN,12,2,0.17,14:24:00
2025-05-19,IMMP,14,5,0.36,14:24:00
2025-05-20,GME,53877,10519,0.2,09:05:00
2025-05-20,TSLA,577216,366579,0.64,09:05:00
2025-05-20,AMC,32705,5390,0.16,09:05:00
2025-05-20,AAPL,218832,168227,0.77,09:05:00
2025-05-20,NVDA,657850,473591,0.72,09:05:00
2025-05-20,BYSI,0,0,,09:05:00
2025-05-20,SLSR,1474,0,0,09:05:00
2025-05-20,STKS,121,264,2.18,09:05:00
2025-05-20,GAIN,12,2,0.17,09:05:00
2025-05-20,IMMP,14,5,0.36,09:05:00
2025-05-20,GME,25365,8252,0.33,12:52:00
2025-05-20,TSLA,605628,260960,0.43,12:52:00
2025-05-20,AMC,12911,1259,0.1,12:52:00
2025-05-20,AAPL,110451,50363,0.46,12:52:00
2025-05-20,NVDA,353348,231353,0.65,12:52:00
2025-05-20,BYSI,0,0,,12:52:00
2025-05-20,SLSR,1474,0,0,12:52:00
2025-05-20,STKS,81,264,3.26,12:52:00
2025-05-20,GAIN,5,2,0.4,12:52:00
